PWM (µs),Force (Kg f)
1100,-2.9
1104,-2.92
1108,-2.89
1112,-2.83
1116,-2.79
1120,-2.76
1124,-2.72
1128,-2.67
1132,-2.6
1136,-2.59
1140,-2.56
1144,-2.49
1148,-2.44
1152,-2.43
1156,-2.39
1160,-2.34
1164,-2.3
1168,-2.25
1172,-2.23
1176,-2.18
1180,-2.14
1184,-2.1
1188,-2.07
1192,-2.01
1196,-1.98
1200,-1.95
1204,-1.88
1208,-1.85
1212,-1.81
1216,-1.78
1220,-1.73
1224,-1.66
1228,-1.65
1232,-1.61
1236,-1.56
1240,-1.53
1244,-1.49
1248,-1.47
1252,-1.44
1256,-1.4
1260,-1.37
1264,-1.33
1268,-1.29
1272,-1.28
1276,-1.22
1280,-1.19
1284,-1.15
1288,-1.12
1292,-1.08
1296,-1.04
1300,-1.02
1304,-0.99
1308,-0.96
1312,-0.93
1316,-0.9
1320,-0.87
1324,-0.83
1328,-0.79
1332,-0.77
1336,-0.74
1340,-0.72
1344,-0.69
1348,-0.66
1352,-0.64
1356,-0.6
1360,-0.57
1364,-0.54
1368,-0.52
1372,-0.49
1376,-0.47
1380,-0.44
1384,-0.42
1388,-0.39
1392,-0.37
1396,-0.34
1400,-0.32
1404,-0.29
1408,-0.27
1412,-0.24
1416,-0.23
1420,-0.2
1424,-0.18
1428,-0.16
1432,-0.15
1436,-0.12
1440,-0.11
1444,-0.09
1448,-0.07
1452,-0.06
1456,-0.05
1460,-0.04
1464,0
1468,0
1472,0
1476,0
1480,0
1484,0
1488,0
1492,0
1496,0
1500,0
1504,0
1508,0
1512,0
1516,0
1520,0
1524,0
1528,0
1532,0
1536,0
1540,0.04
1544,0.05
1548,0.07
1552,0.1
1556,0.11
1560,0.13
1564,0.15
1568,0.18
1572,0.2
1576,0.22
1580,0.25
1584,0.28
1588,0.31
1592,0.33
1596,0.37
1600,0.39
1604,0.43
1608,0.46
1612,0.49
1616,0.52
1620,0.55
1624,0.59
1628,0.63
1632,0.65
1636,0.68
1640,0.71
1644,0.76
1648,0.79
1652,0.83
1656,0.86
1660,0.89
1664,0.93
1668,0.97
1672,1
1676,1.04
1680,1.08
1684,1.14
1688,1.16
1692,1.2
1696,1.23
1700,1.28
1704,1.31
1708,1.35
1712,1.4
1716,1.43
1720,1.48
1724,1.53
1728,1.56
1732,1.63
1736,1.67
1740,1.71
1744,1.77
1748,1.82
1752,1.85
1756,1.91
1760,1.92
1764,1.96
1768,2.03
1772,2.09
1776,2.13
1780,2.18
1784,2.24
1788,2.27
1792,2.33
1796,2.4
1800,2.46
1804,2.51
1808,2.56
1812,2.62
1816,2.65
1820,2.71
1824,2.78
1828,2.84
1832,2.87
1836,2.93
1840,3.01
1844,3.04
1848,3.08
1852,3.16
1856,3.23
1860,3.26
1864,3.32
1868,3.38
1872,3.4
1876,3.45
1880,3.5
1884,3.57
1888,3.64
1892,3.71
1896,3.69
1900,3.71
